FIPS,YEAR,IR-WFrTo
10003,2015,2.18
10005,2015,82.70
11001,2015,0.05
12001,2015,15.30
12003,2015,0.35
12005,2015,3.08
12007,2015,1.43
12009,2015,38.27
12011,2015,47.81
12013,2015,2.85
12015,2015,14.22
12017,2015,4.97
12019,2015,1.56
12021,2015,142.42
12023,2015,2.13
12027,2015,41.39
12029,2015,4.09
12031,2015,8.57
12033,2015,3.04
12035,2015,13.57
12037,2015,0.16
12039,2015,6.68
12041,2015,12.02
12043,2015,121.06
12045,2015,0.11
12047,2015,18.25
12049,2015,32.60
12051,2015,379.14
12053,2015,3.99
12055,2015,83.45
12057,2015,48.44
12059,2015,0.60
12061,2015,57.77
12063,2015,24.52
12065,2015,4.58
12067,2015,7.10
12069,2015,41.37
12071,2015,61.32
12073,2015,2.05
12075,2015,15.53
12077,2015,0.06
12079,2015,13.57
12081,2015,54.85
12083,2015,15.70
12085,2015,108.99
12086,2015,40.01
12087,2015,1.07
12089,2015,3.54
12091,2015,3.03
12093,2015,11.50
12095,2015,18.45
12097,2015,18.49
12099,2015,598.52
12101,2015,8.95
12103,2015,2.15
12105,2015,91.10
12107,2015,22.36
12109,2015,43.09
12111,2015,43.76
12113,2015,1.38
12115,2015,10.27
12117,2015,4.69
12119,2015,7.25
12121,2015,28.09
12123,2015,0.08
12125,2015,1.14
12127,2015,24.21
12129,2015,0.32
12131,2015,3.97
12133,2015,0.91
13001,2015,4.19
13003,2015,1.70
13005,2015,4.07
13007,2015,23.55
13009,2015,0.05
13011,2015,0.13
13013,2015,0.51
13015,2015,2.05
13017,2015,3.27
13019,2015,5.44
13021,2015,1.08
13023,2015,6.04
13025,2015,0.04
13027,2015,9.64
13029,2015,0.17
13031,2015,4.93
13033,2015,17.90
13035,2015,0.25
13037,2015,16.79
13039,2015,0.39
13043,2015,2.03
13045,2015,0.30
13047,2015,0.70
13049,2015,0.00
13051,2015,0.71
13053,2015,0.00
13055,2015,0.00
13057,2015,2.19
13059,2015,1.42
13061,2015,3.83
13063,2015,0.10
13065,2015,0.43
13067,2015,1.37
13069,2015,8.98
13071,2015,20.22
13073,2015,0.71
13075,2015,7.90
13077,2015,1.35
13079,2015,1.26
13081,2015,14.59
13083,2015,0.00
13085,2015,0.13
13087,2015,56.17
13089,2015,1.48
13091,2015,6.80
13093,2015,13.79
13095,2015,14.54
13097,2015,0.38
13099,2015,21.56
13101,2015,1.50
13103,2015,1.08
13105,2015,0.88
13107,2015,2.07
13109,2015,2.73
13111,2015,0.02
13113,2015,0.66
13115,2015,1.59
13117,2015,0.44
13119,2015,0.97
13121,2015,2.51
13123,2015,0.21
13125,2015,0.00
13127,2015,2.24
13129,2015,1.17
13131,2015,5.53
13133,2015,1.14
13135,2015,1.34
13137,2015,0.22
13139,2015,0.68
13141,2015,0.56
13143,2015,0.14
13145,2015,0.03
13147,2015,0.92
13149,2015,0.00
13151,2015,1.55
13153,2015,6.03
13155,2015,15.78
13157,2015,0.29
13159,2015,0.37
13161,2015,2.33
13163,2015,15.87
13165,2015,6.85
13167,2015,0.98
13169,2015,0.16
13171,2015,1.10
13173,2015,1.38
13175,2015,3.89
13177,2015,27.26
13179,2015,0.00
13181,2015,0.00
13183,2015,0.05
13185,2015,2.03
13187,2015,0.21
13189,2015,0.43
13191,2015,0.16
13193,2015,11.98
13195,2015,0.19
13197,2015,0.85
13199,2015,0.18
13201,2015,35.22
13205,2015,52.04
13207,2015,0.43
13209,2015,1.01
13211,2015,1.50
13213,2015,0.19
13215,2015,0.41
13217,2015,0.53
13219,2015,3.44
13221,2015,0.27
13223,2015,0.59
13225,2015,4.27
13227,2015,0.09
13229,2015,3.78
13231,2015,1.15
13233,2015,0.16
13235,2015,10.34
13237,2015,0.35
13239,2015,0.05
13241,2015,0.26
13243,2015,17.81
13245,2015,0.59
13247,2015,0.58
13249,2015,0.15
13251,2015,13.01
13253,2015,44.26
13255,2015,0.28
13257,2015,0.31
13259,2015,0.71
13261,2015,20.57
13263,2015,0.00
13265,2015,0.00
13267,2015,6.96
13269,2015,0.29
13271,2015,2.38
13273,2015,14.89
13275,2015,3.69
13277,2015,12.44
13279,2015,8.43
13281,2015,0.09
13283,2015,1.73
13285,2015,0.08
13287,2015,11.48
13289,2015,1.26
13291,2015,0.19
13293,2015,0.40
13295,2015,0.00
13297,2015,2.44
13299,2015,1.37
13301,2015,0.00
13303,2015,1.24
13305,2015,2.25
13307,2015,4.37
13309,2015,1.99
13311,2015,0.00
13313,2015,0.13
13315,2015,8.45
13317,2015,0.06
13319,2015,0.04
13321,2015,23.49
15001,2015,26.66
15003,2015,83.74
15005,2015,0.00
15007,2015,25.85
15009,2015,248.81
16001,2015,224.48
16003,2015,35.05
16005,2015,218.52
16007,2015,253.15
16009,2015,10.30
16011,2015,841.92
16013,2015,215.30
16015,2015,3.81
16017,2015,7.27
16019,2015,771.68
16021,2015,136.38
16023,2015,191.12
16025,2015,317.58
16027,2015,918.06
16029,2015,448.03
16031,2015,973.02
16033,2015,144.61
16035,2015,32.42
16037,2015,83.62
16039,2015,377.85
16041,2015,305.83
16043,2015,365.64
16045,2015,147.15
16047,2015,408.15
16049,2015,89.23
16051,2015,619.73
16053,2015,536.73
16055,2015,85.72
16057,2015,182.94
16059,2015,90.89
16061,2015,47.18
16063,2015,248.53
16065,2015,364.36
16067,2015,816.83
16069,2015,151.21
16071,2015,735.27
16073,2015,773.82
16075,2015,425.50
16077,2015,539.99
16079,2015,1.09
16081,2015,405.66
16083,2015,1319.41
16085,2015,13.36
16087,2015,414.54
17001,2015,1.00
17003,2015,2.37
17005,2015,0.01
17007,2015,0.86
17009,2015,0.02
17011,2015,5.92
17013,2015,0.00
17015,2015,1.13
17017,2015,9.38
17019,2015,4.61
17021,2015,0.11
17023,2015,5.01
17025,2015,0.03
17027,2015,0.63
17029,2015,0.28
17031,2015,4.37
17033,2015,5.56
17035,2015,0.00
17037,2015,0.49
17039,2015,0.08
17041,2015,0.22
17043,2015,2.77
17045,2015,0.07
17047,2015,0.00
17049,2015,0.10
17051,2015,0.04
17053,2015,0.55
17055,2015,0.22
17057,2015,0.07
17059,2015,7.40
17061,2015,0.01
17063,2015,0.25
17065,2015,0.10
17067,2015,0.38
17069,2015,0.01
17071,2015,1.60
17073,2015,2.93
17075,2015,0.85
17077,2015,0.33
17079,2015,0.00
17081,2015,0.12
17083,2015,0.12
17085,2015,0.56
17087,2015,0.12
17089,2015,1.34
17091,2015,5.93
17093,2015,0.24
17095,2015,0.32
17097,2015,3.69
17099,2015,1.96
17101,2015,12.24
17103,2015,5.57
17105,2015,0.12
17107,2015,0.50
17109,2015,0.14
17111,2015,3.27
17113,2015,0.54
17115,2015,0.29
17117,2015,0.14
17119,2015,0.74
17121,2015,0.15
17123,2015,0.23
17125,2015,66.99
17127,2015,3.10
17129,2015,1.51
17131,2015,4.53
17133,2015,0.72
17135,2015,0.24
17137,2015,1.09
17139,2015,0.10
17141,2015,0.27
17143,2015,1.06
17145,2015,0.04
17147,2015,0.30
17149,2015,0.04
17151,2015,0.22
17153,2015,0.77
17155,2015,0.46
17157,2015,0.07
17159,2015,0.06
17161,2015,1.77
17163,2015,0.56
17165,2015,0.11
17167,2015,0.53
17169,2015,0.22
17171,2015,0.02
17173,2015,0.10
17175,2015,0.00
17177,2015,0.22
17179,2015,20.97
17181,2015,0.08
17183,2015,0.67
17185,2015,0.84
17187,2015,0.10
17189,2015,0.06
17191,2015,0.52
17193,2015,11.17
17195,2015,12.82
17197,2015,1.78
17199,2015,0.35
17201,2015,0.75
17203,2015,0.24
18001,2015,0.03
18003,2015,0.28
18005,2015,4.36
18007,2015,0.35
18009,2015,0.00
18011,2015,0.42
18013,2015,0.02
18015,2015,0.00
18017,2015,0.29
18019,2015,0.16
18021,2015,0.00
18023,2015,0.00
18025,2015,0.00
18027,2015,0.42
18029,2015,0.06
18031,2015,0.00
18033,2015,0.38
18035,2015,0.39
18037,2015,0.11
18039,2015,6.82
18041,2015,0.00
18043,2015,0.01
18045,2015,0.08
18047,2015,0.02
18049,2015,7.91
18051,2015,0.43
18053,2015,0.19
18055,2015,0.04
18057,2015,1.13
18059,2015,0.03
18061,2015,0.00
18063,2015,0.18
18065,2015,0.22
18067,2015,0.12
18069,2015,0.01
18071,2015,2.32
18073,2015,14.55
18075,2015,0.09
18077,2015,0.00
18079,2015,0.00
18081,2015,0.44
18083,2015,8.12
18085,2015,7.32
18087,2015,7.65
18089,2015,4.45
18091,2015,24.63
18093,2015,0.00
18095,2015,0.16
18097,2015,0.78
18099,2015,1.95
18101,2015,0.04
18103,2015,0.23
18105,2015,0.09
18107,2015,0.18
18109,2015,0.03
18111,2015,0.84
18113,2015,2.87
18115,2015,0.24
18117,2015,0.08
18119,2015,0.00
18121,2015,0.62
18123,2015,0.00
18125,2015,0.04
18127,2015,1.47
18129,2015,1.27
18131,2015,4.51
18133,2015,0.00
18135,2015,0.01
18137,2015,0.00
18139,2015,0.05
18141,2015,7.83
18143,2015,0.00
18145,2015,0.86
18147,2015,0.63
18149,2015,4.52
18151,2015,0.85
18153,2015,2.98
18155,2015,0.00
18157,2015,0.75
18159,2015,0.00
18161,2015,0.06
18163,2015,0.32
18165,2015,0.08
18167,2015,1.51
18169,2015,0.66
18171,2015,0.20
18173,2015,0.01
18175,2015,0.00
18177,2015,0.27
18179,2015,0.00
18181,2015,1.57
18183,2015,0.47
19001,2015,0.02
19003,2015,0.00
19005,2015,0.00
19007,2015,0.02
19009,2015,0.00
19011,2015,0.20
19013,2015,0.16
19015,2015,0.02
19017,2015,0.21
19019,2015,0.01
19021,2015,0.05
19023,2015,0.13
19025,2015,0.16
19027,2015,0.11
19029,2015,0.01
19031,2015,0.04
19033,2015,0.19
19035,2015,0.11
19037,2015,0.10
19039,2015,0.00
19041,2015,0.52
19043,2015,0.04
19045,2015,0.03
19047,2015,0.06
19049,2015,0.19
19051,2015,0.00
19053,2015,0.00
19055,2015,0.02
19057,2015,0.68
19059,2015,0.71
19061,2015,0.19
19063,2015,0.05
19065,2015,0.15
19067,2015,0.50
19069,2015,0.14
19071,2015,0.86
19073,2015,0.06
19075,2015,0.05
19077,2015,0.03
19079,2015,0.03
19081,2015,0.65
19083,2015,0.01
19085,2015,2.75
19087,2015,0.00
19089,2015,0.15
19091,2015,0.11
19093,2015,0.00
19095,2015,0.04
19097,2015,0.03
19099,2015,0.08
19101,2015,0.00
19103,2015,0.38
19105,2015,0.03
19107,2015,0.00
19109,2015,0.25
19111,2015,0.54
19113,2015,0.48
19115,2015,3.55
19117,2015,0.00
19119,2015,0.83
19121,2015,0.16
19123,2015,0.02
19125,2015,0.00
19127,2015,0.02
19129,2015,0.40
19131,2015,0.23
19133,2015,7.66
19135,2015,0.00
19137,2015,0.01
19139,2015,2.86
19141,2015,0.11
19143,2015,0.67
19145,2015,0.01
19147,2015,1.25
19149,2015,0.52
19151,2015,0.02
19153,2015,0.49
19155,2015,0.32
19157,2015,0.00
19159,2015,0.03
19161,2015,0.17
19163,2015,0.25
19165,2015,0.01
19167,2015,3.06
19169,2015,0.10
19171,2015,0.01
19173,2015,0.00
19175,2015,0.00
19177,2015,0.00
19179,2015,0.00
19181,2015,0.11
19183,2015,0.11
19185,2015,0.00
19187,2015,0.04
19189,2015,0.05
19191,2015,0.14
19193,2015,0.33
19195,2015,0.12
19197,2015,0.00
20001,2015,0.01
20003,2015,0.64
20005,2015,0.22
20007,2015,3.60
20009,2015,31.73
20011,2015,0.02
20013,2015,2.30
20015,2015,0.51
20017,2015,0.00
20019,2015,0.00
20021,2015,0.45
20023,2015,49.03
20025,2015,2.44
20027,2015,10.38
20029,2015,9.16
20031,2015,0.23
20033,2015,5.90
20035,2015,1.47
20037,2015,0.42
20039,2015,9.08
20041,2015,2.53
20043,2015,0.39
20045,2015,0.66
20047,2015,99.75
20049,2015,0.00
20051,2015,1.27
20053,2015,0.54
20055,2015,214.02
20057,2015,70.59
20059,2015,0.69
20061,2015,1.57
20063,2015,16.67
20065,2015,13.92
20067,2015,95.09
20069,2015,127.64
20071,2015,14.32
20073,2015,0.02
20075,2015,37.03
20077,2015,1.32
20079,2015,23.83
20081,2015,135.00
20083,2015,17.79
20085,2015,0.09
20087,2015,0.93
20089,2015,30.29
20091,2015,1.71
20093,2015,148.96
20095,2015,15.17
20097,2015,58.65
20099,2015,0.01
20101,2015,11.54
20103,2015,0.27
20105,2015,0.70
20107,2015,0.11
20109,2015,6.89
20111,2015,0.10
20113,2015,24.64
20115,2015,1.47
20117,2015,0.84
20119,2015,128.17
20121,2015,0.30
20123,2015,12.04
20125,2015,0.21
20127,2015,0.10
20129,2015,40.42
20131,2015,0.46
20133,2015,0.06
20135,2015,3.24
20137,2015,10.99
20139,2015,0.13
20141,2015,2.23
20143,2015,3.27
20145,2015,61.62
20147,2015,17.91
20149,2015,3.20
20151,2015,83.43
20153,2015,16.74
20155,2015,52.18
20157,2015,15.63
20159,2015,19.95
20161,2015,1.06
20163,2015,1.52
20165,2015,9.15
20167,2015,0.00
20169,2015,3.53
20171,2015,33.35
20173,2015,23.22
20175,2015,137.20
20177,2015,1.44
20179,2015,60.98
20181,2015,102.63
20183,2015,2.05
20185,2015,84.68
20187,2015,85.65
20189,2015,183.03
20191,2015,6.04
20193,2015,83.13
20195,2015,4.49
20197,2015,1.55
20199,2015,35.79
20201,2015,4.20
20203,2015,36.54
20205,2015,0.52
20207,2015,0.06
20209,2015,0.26
21001,2015,0.03
21003,2015,0.34
21005,2015,0.10
21007,2015,0.19
21009,2015,0.24
21011,2015,0.02
21013,2015,0.01
21015,2015,0.31
21017,2015,0.57
21019,2015,0.01
21021,2015,0.24
21023,2015,0.09
21025,2015,0.01
21027,2015,0.02
21029,2015,0.79
21031,2015,0.07
21033,2015,0.85
21035,2015,1.72
21037,2015,0.15
21039,2015,0.27
21041,2015,0.03
21043,2015,0.02
21045,2015,0.04
21047,2015,1.62
21049,2015,0.10
21051,2015,0.08
21053,2015,0.15
21055,2015,0.50
21057,2015,0.17
21059,2015,4.39
21061,2015,0.01
21063,2015,0.04
21065,2015,0.00
21067,2015,1.36
21069,2015,0.07
21071,2015,0.00
21073,2015,0.25
21075,2015,1.09
21077,2015,0.02
21079,2015,0.09
21081,2015,0.02
21083,2015,2.00
21085,2015,0.03
21087,2015,0.03
21089,2015,0.16
21091,2015,0.25
21093,2015,0.33
21095,2015,0.05
21097,2015,0.89
21099,2015,0.08
21101,2015,2.67
21103,2015,0.35
21105,2015,2.73
21107,2015,0.09
21109,2015,0.01
21111,2015,2.43
21113,2015,0.30
21115,2015,0.11
21117,2015,0.04
21119,2015,0.00
21121,2015,0.05
21123,2015,0.05
21125,2015,0.03
21127,2015,0.01
21129,2015,0.01
21131,2015,0.00
21133,2015,0.05
21135,2015,0.01
21137,2015,0.11
21139,2015,0.04
21141,2015,1.21
21143,2015,0.56
21145,2015,0.18
21147,2015,0.00
21149,2015,0.51
21151,2015,0.10
21153,2015,0.05
21155,2015,0.14
21157,2015,0.12
21159,2015,0.00
21161,2015,0.01
21163,2015,0.04
21165,2015,0.11
21167,2015,0.02
21169,2015,0.05
21171,2015,0.04
21173,2015,0.00
21175,2015,0.02
21177,2015,0.11
21179,2015,0.32
21181,2015,0.06
21183,2015,0.25
21185,2015,0.11
21187,2015,0.28
21189,2015,0.02
21191,2015,0.45
21193,2015,0.05
21195,2015,0.00
21197,2015,0.01
21199,2015,0.46
21201,2015,0.02
21203,2015,0.01
21205,2015,0.04
21207,2015,0.01
21209,2015,0.37
21211,2015,0.71
21213,2015,0.08
21215,2015,0.16
21217,2015,0.04
21219,2015,0.67
21221,2015,0.71
21223,2015,0.04
21225,2015,1.19
21227,2015,0.67
21229,2015,0.15
21231,2015,0.06
21233,2015,0.17
21235,2015,0.01
21237,2015,0.02
21239,2015,0.15
22001,2015,162.79
22003,2015,29.66
22005,2015,0.45
22007,2015,0.70
22009,2015,36.94
22011,2015,2.63
22013,2015,0.15
22015,2015,0.61
22017,2015,5.71
22019,2015,25.58
22021,2015,2.86
22023,2015,22.70
22025,2015,16.35
22027,2015,0.05
22029,2015,28.02
22031,2015,0.13
22033,2015,0.39
22035,2015,23.18
22037,2015,0.25
22039,2015,86.30
22041,2015,25.88
22043,2015,1.60
22045,2015,2.72
22047,2015,1.48
22049,2015,0.00
22051,2015,0.02
22053,2015,156.35
22055,2015,6.61
22057,2015,0.58
22059,2015,0.15
22061,2015,0.00
22063,2015,0.01
22065,2015,32.97
22067,2015,83.21
22069,2015,12.16
22071,2015,0.06
22073,2015,18.26
22075,2015,0.00
22077,2015,12.37
22079,2015,18.61
22081,2015,2.48
22083,2015,25.13
22085,2015,0.00
22087,2015,0.00
22089,2015,0.05
22091,2015,0.02
22093,2015,0.34
22095,2015,0.16
22097,2015,55.75
22099,2015,8.46
22101,2015,0.77
22103,2015,0.02
22105,2015,0.20
22107,2015,24.32
22109,2015,0.06
22111,2015,0.00
22113,2015,102.13
22115,2015,0.00
22117,2015,0.39
22119,2015,0.00
22121,2015,1.98
22123,2015,11.82
22125,2015,0.26
22127,2015,0.00
23001,2015,0.57
23003,2015,4.03
23005,2015,1.05
23007,2015,0.14
23009,2015,1.16
23011,2015,0.47
23013,2015,0.35
23015,2015,0.12
23017,2015,0.37
23019,2015,1.44
23021,2015,0.13
23023,2015,0.18
23025,2015,0.14
23027,2015,0.23
23029,2015,7.37
23031,2015,1.14
24001,2015,0.08
24003,2015,0.77
24005,2015,0.86
24009,2015,0.02
24011,2015,14.95
24013,2015,0.21
24015,2015,1.63
24017,2015,0.28
24019,2015,13.55
24021,2015,4.65
24023,2015,0.00
24025,2015,0.39
24027,2015,0.44
24029,2015,3.78
24031,2015,1.28
24033,2015,1.02
24035,2015,9.15
24037,2015,0.07
24039,2015,0.42
24041,2015,2.01
24043,2015,0.16
24045,2015,5.31
24047,2015,3.06
24510,2015,0.00
25001,2015,10.43
25003,2015,0.38
25005,2015,10.08
25007,2015,1.07
25009,2015,1.37
25011,2015,0.80
25013,2015,0.95
25015,2015,0.56
25017,2015,3.42
25019,2015,1.20
25021,2015,1.73
25023,2015,104.27
25025,2015,0.13
25027,2015,2.19
26001,2015,0.12
26003,2015,0.03
26005,2015,14.70
26007,2015,0.11
26009,2015,9.10
26011,2015,0.24
26013,2015,0.01
26015,2015,3.63
26017,2015,1.96
26019,2015,0.32
26021,2015,11.75
26023,2015,19.01
26025,2015,6.32
26027,2015,30.69
26029,2015,0.21
26031,2015,0.31
26033,2015,0.15
26035,2015,0.23
26037,2015,2.06
26039,2015,0.40
26041,2015,0.25
26043,2015,0.16
26045,2015,0.24
26047,2015,0.73
26049,2015,0.34
26051,2015,0.00
26053,2015,0.00
26055,2015,1.54
26057,2015,6.84
26059,2015,3.66
26061,2015,0.03
26063,2015,0.78
26065,2015,0.62
26067,2015,1.77
26069,2015,0.32
26071,2015,0.09
26073,2015,8.23
26075,2015,5.49
26077,2015,15.65
26079,2015,4.76
26081,2015,6.23
26083,2015,0.01
26085,2015,0.00
26087,2015,0.32
26089,2015,1.62
26091,2015,1.21
26093,2015,1.16
26095,2015,1.20
26097,2015,0.05
26099,2015,1.75
26101,2015,1.52
26103,2015,0.17
26105,2015,2.96
26107,2015,10.88
26109,2015,0.02
26111,2015,0.22
26113,2015,4.50
26115,2015,1.96
26117,2015,36.13
26119,2015,0.17
26121,2015,2.55
26123,2015,4.41
26125,2015,3.94
26127,2015,4.95
26129,2015,0.22
26131,2015,0.00
26133,2015,0.68
26135,2015,0.21
26137,2015,1.94
26139,2015,8.47
26141,2015,0.23
26143,2015,0.26
26145,2015,1.78
26147,2015,0.28
26149,2015,49.03
26151,2015,0.97
26153,2015,0.17
26155,2015,0.22
26157,2015,3.70
26159,2015,17.31
26161,2015,2.82
26163,2015,0.96
26165,2015,1.97
27001,2015,4.10
27003,2015,2.22
27005,2015,7.11
27007,2015,3.24
27009,2015,7.80
27011,2015,1.05
27013,2015,0.40
27015,2015,2.00
27017,2015,0.07
27019,2015,0.26
27021,2015,3.34
27023,2015,0.33
27025,2015,0.24
27027,2015,1.51
27029,2015,7.83
27031,2015,0.07
27033,2015,0.54
27035,2015,2.31
27037,2015,17.01
27039,2015,0.12
27041,2015,3.06
27043,2015,0.06
27045,2015,0.10
27047,2015,0.34
27049,2015,1.59
27051,2015,1.62
27053,2015,2.80
27055,2015,0.05
27057,2015,12.28
27059,2015,0.51
27061,2015,0.21
27063,2015,0.07
27065,2015,0.01
27067,2015,4.39
27069,2015,1.17
27071,2015,0.56
27073,2015,1.44
27075,2015,0.01
27077,2015,0.77
