StateID,Year,Yieldkgha,areaMha,NUE_wheat
32,2015,5649.3,0.0024,1.636117388
34,2010,3075.73,0.008,0.780438157
34,2011,3075.73,0.0124,0.9185908
34,2012,3515.12,0.0092,0.884007289
34,2013,3389.58,0.0116,0.840032617
34,2014,3326.81,0.01,0.887453225
34,2015,3138.5,0.008,0.805054846
35,2010,1757.56,0.116,0.379160124
35,2011,1318.17,0.036,0.216656146
35,2012,1694.79,0.042,0.332007203
35,2013,2761.88,0.04,0.514386248
35,2014,1757.56,0.042,0.35514891
35,2015,1569.25,0.076,0.299797998
36,2010,4205.59,0.038,0.871573961
36,2011,3452.35,0.0372,0.803963176
36,2012,3954.51,0.034,0.999949194
36,2013,4268.36,0.046,1.108408623
36,2014,3954.51,0.038,0.95997081
36,2015,3954.51,0.044,0.99275261
37,2010,2385.26,0.132,0.271977119
37,2011,4268.36,0.236,0.473158401
37,2012,3577.89,0.296,0.465951388
37,2013,3577.89,0.37,0.488969554
37,2014,3640.66,0.308,0.550340656
37,2015,3326.81,0.228,0.516136809
38,2010,3452.35,0.124,0.732898264
38,2011,2322.49,0.15,0.569403576
38,2012,3515.12,0.292,1.076999808
38,2013,2699.11,0.08,0.730503219
38,2014,3075.73,0.222,0.902419384
38,2015,2761.88,0.076,0.814131213
39,2010,3828.97,0.28,0.641498927
39,2011,3577.89,0.34,0.615873565
39,2012,4268.36,0.18,0.786616628
39,2013,4393.9,0.256,0.853441682
39,2014,4644.98,0.218,0.960740272
39,2015,4205.59,0.192,0.903273593
40,2010,1945.87,1.54,0.521012401
40,2011,1443.71,1.28,0.384981946
40,2012,2259.72,1.72,0.613833316
40,2013,1945.87,1.36,0.53616399
40,2014,1067.09,1.12,0.304852532
40,2015,1632.02,1.52,0.459341152
41,2010,4205.59,0.316,1.147024546
41,2011,4833.29,0.338,1.120423797
41,2012,4142.82,0.314,0.865459412
41,2013,3891.74,0.312,0.801163799
41,2014,3452.35,0.296,0.814680928
41,2015,2950.19,0.294,1.061217651
42,2010,3703.43,0.052,0.903580341
42,2011,3201.27,0.068,0.7723338
42,2012,4080.05,0.054,0.958727228
42,2013,4268.36,0.062,0.984586648
42,2014,4080.05,0.06,0.870702641
42,2015,4080.05,0.07,0.93301594
45,2010,2259.72,0.048,0.281769907
45,2011,3766.2,0.072,0.551420299
45,2012,3326.81,0.088,0.496154818
45,2013,3389.58,0.106,0.536418792
45,2014,3264.04,0.088,0.468696201
45,2015,2887.42,0.064,0.357755701
46,2010,3075.73,0.52,0.73044307
46,2011,2636.34,0.636,0.642859804
46,2012,3138.5,0.484,0.805522876
46,2013,2448.03,0.268,0.594670872
46,2014,3452.35,0.432,0.78772737
46,2015,2761.88,0.388,0.533501844
47,2010,3326.81,0.062,1.062901285
47,2011,4268.36,0.122,1.545397428
47,2012,3954.51,0.132,0.9901097
47,2013,4456.67,0.23,1.187946592
47,2014,4142.82,0.19,1.097532783
47,2015,4268.36,0.158,1.0968226
48,2010,2071.41,1.5,0.757259221
48,2011,1569.25,0.76,0.530413153
48,2012,2071.41,1.16,0.635990471
48,2013,1820.33,0.94,0.524329721
48,2014,1883.1,0.9,0.557921988
48,2015,1883.1,1.42,0.584821165
49,2010,3012.96,0.0472,0.999490119
49,2011,3138.5,0.0496,0.808357992
49,2012,2950.19,0.0436,0.827239246
49,2013,2761.88,0.044,0.799961211
49,2014,3138.5,0.0436,0.856448454
49,2015,3012.96,0.0476,0.81204301
51,2010,3201.27,0.06,0.678982056
51,2011,4456.67,0.096,0.825500474
51,2012,4017.28,0.096,0.832600721
